CLAIM_ID,POLICY_ID,CUSTOMER_ID,CLAIM_TYPE,INCIDENT_DATE,REPORTED_DATE,CLAIM_AMOUNT,CLAIM_STATUS,SETTLEMENT_AMOUNT,PROCESSING_DAYS,FRAUD_FLAG,FRAUD_SCORE,SOURCE,CLAIM_SEVERITY
CLM000003426,POL000054230,CUST00098628,Travel Disruption,2022-04-30,2022-05-08,169328,Partially Approved,116259,22,No,0.6583,Hospital,Medium
CLM000003427,POL000044758,CUST00028790,Travel Disruption,2023-06-01,2023-06-04,184397,Approved,173993,35,No,0.1019,Garage,Medium
CLM000003428,POL000004609,CUST00071769,Property Damage,2026-02-05,2026-02-10,5542,Approved,4616,17,No,0.3544,Garage,Medium
CLM000003429,POL000054944,CUST00099424,Travel Disruption,2022-08-10,2022-08-13,481246,Approved,472515,26,No,0.0598,Hospital,Low
CLM000003430,POL000121824,CUST00069271,Property Damage,2026-02-12,2026-02-17,256115,Approved,206848,23,Suspected,0.1144,Garage,Low
CLM000003431,POL000015386,CUST00033400,Theft,2022-11-20,2022-11-24,31984,Approved,28130,27,No,0.4369,Hospital,Low
CLM000003432,POL000008100,CUST00099004,Travel Disruption,2023-02-13,2023-02-23,561313,Pending,0,6,No,0.7195,Police,High
CLM000003433,POL000121936,CUST00023363,Liability,2025-04-12,2025-04-18,1682941,Approved,1444468,25,No,0.7671,Police,High
CLM000003434,POL000136497,CUST00065925,Property Damage,2024-03-21,2024-03-30,158141,Approved,127330,12,No,0.9282,Hospital,High
CLM000003435,POL000145282,CUST00058212,Accident,2025-07-06,2025-07-06,118910,Approved,102453,36,No,0.0612,Garage,Medium
CLM000003436,POL000030480,CUST00007015,Accident,2024-04-18,2024-04-22,172963,Approved,143487,22,No,0.9347,Hospital,Low
CLM000003437,POL000121885,CUST00067340,Accident,2026-02-24,2026-02-26,45581,Approved,41894,10,Suspected,0.9473,Surveyor,Low
CLM000003438,POL000055148,CUST00032828,Hospitalization,2023-08-29,2023-09-01,342064,Pending,0,20,No,0.4203,Hospital,High
CLM000003439,POL000091440,CUST00057754,Liability,2026-02-28,2026-03-01,162998,Approved,139164,21,No,0.9563,Third Party,Medium
CLM000003440,POL000132399,CUST00094361,Travel Disruption,2025-10-18,2025-10-19,353947,Pending,0,7,No,0.2448,Garage,Low
CLM000003441,POL000135785,CUST00021186,Liability,2023-06-02,2023-07-14,1048534,Approved,994421,13,No,0.6388,Surveyor,Low
CLM000003442,POL000080068,CUST00007699,Theft,2023-08-07,2023-08-11,137921,Approved,135948,22,No,0.9247,Surveyor,Low
CLM000003443,POL000070883,CUST00001285,Accident,2023-02-01,2023-02-05,166782,Pending,0,14,No,0.9475,Garage,Medium
CLM000003444,POL000037047,CUST00020297,Liability,2024-04-05,2024-04-14,235243,Approved,235094,16,No,0.9201,Customer,Medium
CLM000003445,POL000141559,CUST00030899,Death,2025-10-12,2025-10-15,24137,Approved,21822,28,No,0.5151,Police,Low
CLM000003446,POL000148315,CUST00033789,Property Damage,2025-06-18,2025-07-06,175717,Approved,142991,23,No,0.3874,Surveyor,Low
CLM000003447,POL000044836,CUST00030112,Vehicle Damage,2022-03-29,2022-03-29,63591,Approved,58398,18,No,0.6526,Surveyor,Medium
CLM000003448,POL000073693,CUST00083592,Vehicle Damage,2026-04-07,2026-04-08,329378,Pending,0,26,No,0.0167,Police,Medium
CLM000003449,POL000130037,CUST00076252,Death,2022-05-15,2022-05-23,4215800,Partially Approved,2401498,15,No,0.6469,Surveyor,Low
CLM000003450,POL000064174,CUST00061954,Death,2026-01-30,2026-01-31,461891,Approved,405821,4,No,0.5804,Hospital,Low
CLM000003451,POL000024869,CUST00052592,Liability,2023-11-17,2023-11-17,38141,Under Investigation,0,51,No,0.4625,Surveyor,Medium
CLM000003452,POL000081799,CUST00067343,Travel Disruption,2025-01-25,2025-01-26,12757,Pending,0,12,No,0.5922,Hospital,Low
CLM000003453,POL000014220,CUST00052733,Liability,2026-08-11,2026-08-21,65898,Pending,0,15,No,0.6736,Police,Low
CLM000003454,POL000094113,CUST00007723,Liability,2024-03-09,2024-03-12,44213,Under Investigation,0,4,No,0.5341,Third Party,Medium
CLM000003455,POL000141659,CUST00032277,Death,2025-04-22,2025-05-04,620149,Approved,613047,17,No,0.5073,Hospital,Low
CLM000003456,POL000056613,CUST00014011,Death,2026-03-05,2026-03-09,16598,Approved,16186,41,No,0.6213,Police,Low
CLM000003457,POL000108459,CUST00041960,Property Damage,2023-07-18,2023-08-06,47457,Approved,41542,14,No,0.9964,Police,Low
CLM000003458,POL000004557,CUST00007018,Death,2022-02-28,2022-03-06,1447292,Approved,1162905,28,No,0.982,Surveyor,Low
CLM000003459,POL000100880,CUST00062206,Liability,2024-08-31,2024-09-03,31916,Approved,26349,34,No,0.6682,Police,Low
CLM000003460,POL000078593,CUST00035555,Death,2023-09-03,2023-09-03,17441,Approved,15070,5,No,0.9617,Garage,High
CLM000003461,POL000082159,CUST00004066,Accident,2024-12-27,2024-12-31,22153,Approved,19664,52,No,0.1157,Surveyor,High
CLM000003462,POL000095296,CUST00011677,Travel Disruption,2023-05-21,2023-05-24,36391,Approved,36268,1,No,0.6101,Customer,High
CLM000003463,POL000058242,CUST00063967,Hospitalization,2026-02-27,2026-03-01,3550,Approved,2949,14,No,0.6764,Police,Low
CLM000003464,POL000066950,CUST00077751,Theft,2024-02-05,2024-02-14,147209,Pending,0,34,No,0.2289,Third Party,Low
CLM000003465,POL000014090,CUST00019091,Vehicle Damage,2025-06-18,2025-06-23,454402,Partially Approved,270214,32,No,0.7649,Customer,Low
CLM000003466,POL000005371,CUST00032533,Vehicle Damage,2022-05-25,2022-05-31,12230,Approved,11277,22,No,0.2176,Garage,Low
CLM000003467,POL000010252,CUST00075170,Vehicle Damage,2025-08-16,2025-08-17,23540,Approved,22444,20,No,0.7209,Hospital,Low
CLM000003468,POL000014834,CUST00051195,Travel Disruption,2025-03-26,2025-03-30,133125,Partially Approved,78896,9,No,0.5255,Hospital,Medium
CLM000003469,POL000014813,CUST00069324,Hospitalization,2023-04-26,2023-05-02,38401,Approved,34049,25,No,0.3101,Customer,Low
CLM000003470,POL000127831,CUST00078247,Accident,2022-09-14,2022-09-19,41304,Approved,37365,10,No,0.9437,Surveyor,Low
CLM000003471,POL000054781,CUST00025928,Liability,2024-02-12,2024-02-18,20169,Approved,16230,10,No,0.4462,Police,Medium
CLM000003472,POL000118154,CUST00052090,Accident,2025-02-06,2025-02-07,574914,Approved,531498,24,No,0.4802,Customer,Low
CLM000003473,POL000123828,CUST00067100,Travel Disruption,2023-05-29,2023-06-05,392399,Partially Approved,193750,5,No,0.5884,Garage,Low
CLM000003474,POL000005945,CUST00061786,Vehicle Damage,2022-09-23,2022-10-02,746793,Approved,696967,4,No,0.1435,Customer,Low
CLM000003475,POL000078808,CUST00077817,Theft,2023-12-02,2023-12-06,342278,Under Investigation,0,63,No,0.1845,Police,Low
CLM000003476,POL000100675,CUST00086842,Accident,2023-04-15,2023-04-20,1060639,Approved,1055821,18,No,0.5868,Customer,Low
CLM000003477,POL000040935,CUST00072242,Property Damage,2026-05-08,2026-05-11,17924,Approved,14439,5,No,0.4191,Garage,Low
CLM000003478,POL000033636,CUST00042712,Liability,2022-03-12,2022-03-16,191755,Approved,164174,17,No,0.9503,Customer,Low
CLM000003479,POL000110829,CUST00006127,Vehicle Damage,2022-02-07,2022-02-12,24185,Approved,21227,7,No,0.7898,Customer,Medium
CLM000003480,POL000011144,CUST00070909,Vehicle Damage,2022-02-04,2022-02-06,445993,Approved,371944,25,No,0.7063,Garage,Low
CLM000003481,POL000038000,CUST00002886,Hospitalization,2023-07-27,2023-07-30,5098,Rejected,0,19,No,0.706,Garage,Medium
CLM000003482,POL000044858,CUST00034103,Theft,2022-05-26,2022-06-06,30750,Approved,26584,48,No,0.6552,Police,High
CLM000003483,POL000023625,CUST00044226,Liability,2026-01-07,2026-01-17,11237,Approved,10435,15,No,0.3416,Police,Low
CLM000003484,POL000045231,CUST00031049,Accident,2025-01-27,2025-01-30,884764,Approved,722886,12,No,0.6188,Police,High
CLM000003485,POL000039053,CUST00011707,Theft,2025-01-19,2025-01-22,25940,Rejected,0,13,No,0.2104,Hospital,Medium
CLM000003486,POL000063469,CUST00033843,Hospitalization,2023-08-10,2023-08-12,53147,Approved,49398,16,Suspected,0.472,Police,Low
CLM000003487,POL000010007,CUST00069526,Accident,2026-08-28,2026-09-04,144519,Approved,131827,22,No,0.8055,Garage,Low
CLM000003488,POL000030272,CUST00030127,Death,2023-10-24,2023-11-06,70435,Partially Approved,52156,43,No,0.2158,Surveyor,Medium
CLM000003489,POL000066731,CUST00087342,Hospitalization,2024-05-10,2024-05-11,72103,Approved,63460,20,No,0.6619,Surveyor,High
CLM000003490,POL000142093,CUST00048000,Theft,2023-06-09,2023-06-11,1258450,Approved,1082988,17,No,0.8779,Third Party,Medium
CLM000003491,POL000134131,CUST00081319,Theft,2025-06-10,2025-06-14,109534,Approved,107871,12,No,0.088,Customer,High
CLM000003492,POL000050372,CUST00089690,Death,2022-11-26,2022-11-29,9346,Approved,8650,14,No,0.3852,Third Party,Medium
CLM000003493,POL000112325,CUST00088877,Accident,2025-05-28,2025-06-08,14537,Approved,14092,31,Suspected,0.1315,Surveyor,Medium
CLM000003494,POL000046954,CUST00048529,Theft,2026-06-02,2026-06-08,223908,Approved,185000,14,No,0.4674,Hospital,Low
CLM000003495,POL000009688,CUST00021282,Hospitalization,2026-08-17,2026-08-28,1308195,Approved,1303523,12,No,0.8294,Third Party,High
CLM000003496,POL000090263,CUST00060967,Liability,2025-10-25,2025-10-27,432835,Approved,358083,13,No,0.1248,Police,High
CLM000003497,POL000000706,CUST00055487,Accident,2025-03-14,2025-03-16,27580,Approved,24473,71,No,0.8395,Garage,Low
CLM000003498,POL000004229,CUST00074866,Property Damage,2024-07-27,2024-08-09,552263,Rejected,0,22,No,0.3476,Hospital,Medium
CLM000003499,POL000141541,CUST00037245,Accident,2024-06-16,2024-06-22,113940,Approved,94591,9,No,0.3165,Customer,Low
CLM000003500,POL000002635,CUST00084465,Travel Disruption,2023-10-11,2023-10-15,538335,Approved,446031,70,No,0.3561,Third Party,Low
CLM000003501,POL000021462,CUST00092862,Hospitalization,2024-07-01,2024-07-06,80284,Pending,0,8,No,0.2011,Third Party,Low
CLM000003502,POL000033713,CUST00028339,Theft,2022-10-09,2022-10-20,54970,Approved,47740,40,No,0.0588,Garage,Medium
CLM000003503,POL000122015,CUST00059840,Theft,2024-03-31,2024-04-05,1063091,Approved,1030074,19,No,0.6998,Hospital,Low
CLM000003504,POL000033633,CUST00068797,Theft,2026-02-17,2026-02-19,98449,Approved,81185,23,No,0.5977,Police,Low
CLM000003505,POL000109974,CUST00078022,Property Damage,2025-11-21,2025-11-30,73377,Approved,65756,14,No,0.0838,Surveyor,Low
CLM000003506,POL000046998,CUST00074974,Vehicle Damage,2022-12-13,2022-12-19,264320,Approved,253431,39,No,0.5439,Hospital,Low
CLM000003507,POL000091401,CUST00024894,Property Damage,2025-07-22,2025-07-31,103389,Approved,97504,12,No,0.3947,Customer,Medium
CLM000003508,POL000074881,CUST00065307,Vehicle Damage,2024-09-20,2024-09-21,546362,Rejected,0,10,No,0.6308,Police,Medium
CLM000003509,POL000125740,CUST00039140,Death,2022-07-10,2022-07-14,42620,Partially Approved,25621,4,No,0.5072,Customer,Low
CLM000003510,POL000146444,CUST00019591,Hospitalization,2023-05-26,2023-06-05,23091,Under Investigation,0,8,No,0.6665,Surveyor,Low
CLM000003511,POL000147803,CUST00050142,Travel Disruption,2024-11-06,2024-11-11,27491,Approved,22675,37,No,0.416,Customer,Low
CLM000003512,POL000060766,CUST00033117,Property Damage,2024-06-09,2024-06-17,32340,Approved,26347,27,No,0.3956,Hospital,Low
CLM000003513,POL000016631,CUST00092740,Hospitalization,2024-01-29,2024-02-01,222874,Rejected,0,18,No,0.0929,Hospital,Medium
CLM000003514,POL000075579,CUST00040111,Accident,2024-06-08,2024-06-16,1977624,Under Investigation,0,39,No,0.0558,Hospital,Low
CLM000003515,POL000047257,CUST00063620,Liability,2022-09-29,2022-10-09,50048,Approved,41404,18,Suspected,0.4112,Surveyor,Low
CLM000003516,POL000016454,CUST00025326,Accident,2024-11-01,2024-11-03,203006,Approved,179355,6,No,0.2029,Hospital,Low
CLM000003517,POL000110238,CUST00001576,Property Damage,2022-09-21,2022-09-21,150180,Pending,0,23,No,0.5038,Third Party,Medium
CLM000003518,POL000119295,CUST00031523,Travel Disruption,2022-03-11,2022-03-19,147987,Approved,120044,18,No,0.6639,Surveyor,Medium
CLM000003519,POL000013343,CUST00019943,Death,2023-06-27,2023-07-06,149885,Approved,149250,21,No,0.4136,Third Party,Medium
CLM000003520,POL000053659,CUST00032984,Accident,2025-03-15,2025-03-17,93990,Approved,86224,9,No,0.1913,Police,Low
CLM000003521,POL000133713,CUST00021411,Liability,2025-02-09,2025-02-14,232743,Approved,223150,18,No,0.8776,Customer,Low
CLM000003522,POL000058902,CUST00087500,Accident,2026-07-06,2026-07-07,144750,Approved,143439,10,No,0.926,Customer,High
CLM000003523,POL000026281,CUST00026548,Hospitalization,2025-12-26,2025-12-29,175094,Pending,0,21,No,0.2755,Hospital,Low
CLM000003524,POL000112611,CUST00031713,Accident,2025-07-02,2025-07-04,230591,Partially Approved,95061,23,No,0.3835,Garage,Low
CLM000003525,POL000019121,CUST00065908,Liability,2023-04-20,2023-04-20,19508,Approved,15869,13,No,0.5702,Customer,Low
CLM000003526,POL000007872,CUST00042390,Theft,2025-01-23,2025-02-01,115373,Approved,99314,19,No,0.7716,Garage,Low
CLM000003527,POL000148243,CUST00073217,Vehicle Damage,2025-08-25,2025-08-30,844876,Approved,819636,15,No,0.3928,Police,Low
CLM000003528,POL000085751,CUST00038698,Hospitalization,2022-05-13,2022-05-14,744146,Approved,603883,25,No,0.755,Hospital,Low
CLM000003529,POL000100146,CUST00050023,Travel Disruption,2022-04-13,2022-04-22,945967,Pending,0,18,No,0.7251,Police,Low
CLM000003530,POL000063402,CUST00019173,Accident,2025-10-08,2025-10-10,166706,Partially Approved,67774,9,No,0.2879,Garage,Medium
CLM000003531,POL000053112,CUST00013067,Accident,2025-02-27,2025-03-01,939404,Partially Approved,369793,31,No,0.3967,Garage,Medium
CLM000003532,POL000041705,CUST00094802,Travel Disruption,2025-02-05,2025-02-22,2203566,Approved,2153374,13,No,0.5605,Third Party,Low
CLM000003533,POL000102510,CUST00016934,Hospitalization,2022-03-29,2022-04-01,19859,Approved,16611,13,No,0.8189,Garage,Low
CLM000003534,POL000050439,CUST00061641,Theft,2026-07-27,2026-08-04,534170,Pending,0,12,No,0.0656,Surveyor,Medium
CLM000003535,POL000079149,CUST00075621,Vehicle Damage,2024-08-31,2024-09-07,347336,Pending,0,9,No,0.2953,Police,Medium
CLM000003536,POL000085229,CUST00002462,Liability,2022-02-16,2022-02-22,63488,Partially Approved,37989,21,No,0.876,Third Party,Low
CLM000003537,POL000008163,CUST00004752,Property Damage,2022-06-14,2022-06-21,323635,Approved,270509,29,No,0.6531,Hospital,Low
CLM000003538,POL000065324,CUST00045222,Liability,2022-04-30,2022-05-04,7458,Approved,6700,12,No,0.7141,Hospital,Medium
CLM000003539,POL000117985,CUST00034328,Death,2023-06-06,2023-06-07,41845,Approved,39729,2,No,0.1714,Customer,High
CLM000003540,POL000081848,CUST00085794,Liability,2023-01-22,2023-01-27,264470,Under Investigation,0,26,No,0.9429,Garage,Low
CLM000003541,POL000119971,CUST00007473,Vehicle Damage,2025-06-30,2025-07-05,44870,Approved,43218,8,No,0.3741,Hospital,Medium
CLM000003542,POL000117944,CUST00068931,Vehicle Damage,2026-07-08,2026-07-18,22409,Pending,0,7,No,0.6196,Customer,Medium
CLM000003543,POL000004312,CUST00031601,Property Damage,2026-08-30,2026-09-06,74456,Under Investigation,0,24,No,0.056,Police,Low
CLM000003544,POL000121038,CUST00063420,Liability,2025-04-23,2025-05-06,106034,Partially Approved,48693,12,No,0.0807,Hospital,High
CLM000003545,POL000035916,CUST00012079,Property Damage,2022-07-28,2022-08-09,42851,Approved,34600,5,No,0.3455,Garage,Low
CLM000003546,POL000123376,CUST00032911,Theft,2026-07-04,2026-07-10,341006,Partially Approved,150500,15,No,0.3298,Third Party,Low
CLM000003547,POL000009628,CUST00021905,Accident,2024-02-22,2024-02-28,6287,Approved,6118,19,No,0.2197,Hospital,Low
CLM000003548,POL000022802,CUST00072641,Vehicle Damage,2025-10-08,2025-10-11,34556,Approved,27934,11,No,0.5598,Police,Low
CLM000003549,POL000092116,CUST00043098,Hospitalization,2023-03-25,2023-03-27,697534,Approved,655631,20,No,0.4474,Hospital,Low
CLM000003550,POL000125011,CUST00052494,Death,2024-08-27,2024-08-30,32982,Approved,30590,10,No,0.9297,Garage,Medium
CLM000003551,POL000136865,CUST00043662,Vehicle Damage,2023-05-21,2023-05-25,258105,Under Investigation,0,27,No,0.6361,Surveyor,Medium
CLM000003552,POL000021805,CUST00003538,Property Damage,2022-01-21,2022-01-24,3255840,Approved,2880891,21,No,0.4806,Garage,Low
CLM000003553,POL000124972,CUST00061447,Liability,2024-10-04,2024-10-07,313442,Approved,291212,13,No,0.1599,Third Party,Low
CLM000003554,POL000027482,CUST00064763,Theft,2024-11-19,2024-12-01,457644,Approved,370010,5,No,0.8521,Hospital,Medium
CLM000003555,POL000149790,CUST00039038,Travel Disruption,2023-06-13,2023-06-14,66289,Rejected,0,15,No,0.6478,Police,Low
CLM000003556,POL000065489,CUST00065686,Theft,2024-09-26,2024-09-29,452094,Approved,436365,67,Suspected,0.1575,Garage,Medium
CLM000003557,POL000138562,CUST00014223,Hospitalization,2024-10-24,2024-10-26,552889,Approved,539885,31,No,0.4269,Customer,Low
CLM000003558,POL000009097,CUST00054606,Liability,2025-06-18,2025-06-19,200970,Approved,166686,16,No,0.3269,Customer,Low
CLM000003559,POL000068382,CUST00088084,Death,2024-10-10,2024-10-21,77357,Approved,68955,4,No,0.5345,Customer,Medium
CLM000003560,POL000149398,CUST00027167,Vehicle Damage,2023-11-04,2023-11-04,32369,Approved,26776,16,No,0.6186,Police,Medium
CLM000003561,POL000048244,CUST00024228,Vehicle Damage,2024-01-04,2024-01-06,221132,Partially Approved,129766,16,No,0.9613,Third Party,Medium
CLM000003562,POL000046557,CUST00009444,Accident,2024-01-21,2024-01-24,853657,Approved,789196,17,No,0.0591,Customer,Low
CLM000003563,POL000149760,CUST00089980,Theft,2022-02-15,2022-02-18,458225,Under Investigation,0,8,No,0.2925,Police,Medium
CLM000003564,POL000013194,CUST00061684,Accident,2025-09-23,2025-10-03,116333,Approved,97458,27,No,0.1214,Third Party,Medium
CLM000003565,POL000095405,CUST00072192,Hospitalization,2023-10-13,2023-10-16,82368,Partially Approved,52698,28,No,0.5174,Garage,Medium
CLM000003566,POL000053569,CUST00039562,Death,2024-03-14,2024-03-18,55886,Partially Approved,27168,9,No,0.8428,Third Party,Low
CLM000003567,POL000008470,CUST00064344,Death,2024-08-14,2024-08-23,124047,Approved,113243,7,No,0.699,Third Party,Low
CLM000003568,POL000081722,CUST00094658,Vehicle Damage,2025-04-22,2025-04-30,111434,Approved,103627,18,No,0.0043,Customer,Low
CLM000003569,POL000007148,CUST00024298,Theft,2024-06-03,2024-06-08,14530,Pending,0,51,No,0.7049,Police,Low
CLM000003570,POL000095860,CUST00056417,Death,2026-02-10,2026-02-14,914960,Approved,868970,6,No,0.9562,Third Party,Medium
CLM000003571,POL000024367,CUST00049766,Travel Disruption,2024-04-01,2024-04-13,58898,Approved,53525,15,No,0.5232,Garage,Low
CLM000003572,POL000097618,CUST00099820,Accident,2025-10-03,2025-10-09,18513,Approved,15394,15,No,0.3398,Garage,High
CLM000003573,POL000080904,CUST00028413,Liability,2022-09-02,2022-09-04,715237,Rejected,0,51,No,0.8096,Garage,Medium
CLM000003574,POL000082849,CUST00081036,Hospitalization,2022-09-12,2022-09-16,49083,Partially Approved,32537,13,No,0.4438,Surveyor,Medium
CLM000003575,POL000053256,CUST00042888,Travel Disruption,2022-07-09,2022-07-17,1474760,Approved,1305999,28,No,0.857,Customer,Low
CLM000003576,POL000025389,CUST00060616,Liability,2026-04-19,2026-04-26,1695028,Under Investigation,0,47,No,0.3115,Garage,Low
CLM000003577,POL000038661,CUST00023142,Liability,2024-01-24,2024-01-25,12691,Approved,10218,37,No,0.224,Third Party,High
CLM000003578,POL000096655,CUST00061884,Hospitalization,2026-06-16,2026-06-22,19922,Approved,19517,14,No,0.5606,Surveyor,High
CLM000003579,POL000067093,CUST00057302,Theft,2023-05-08,2023-05-18,276110,Approved,247765,24,No,0.6339,Surveyor,Low
CLM000003580,POL000002007,CUST00099843,Travel Disruption,2023-01-13,2023-01-23,133801,Approved,124590,17,No,0.9274,Surveyor,Low
CLM000003581,POL000091106,CUST00061198,Liability,2023-06-07,2023-06-07,114830,Approved,105542,11,No,0.7747,Police,Low
CLM000003582,POL000115275,CUST00021938,Death,2026-01-13,2026-01-19,50048,Rejected,0,11,No,0.9833,Garage,Medium
CLM000003583,POL000012049,CUST00008468,Travel Disruption,2022-10-09,2022-10-09,180682,Approved,172149,51,No,0.6315,Garage,Low
CLM000003584,POL000000883,CUST00071508,Vehicle Damage,2026-08-11,2026-08-15,166903,Approved,137065,46,No,0.0301,Police,Medium
CLM000003585,POL000148356,CUST00082245,Accident,2023-08-29,2023-09-10,523507,Approved,507872,30,No,0.2832,Police,Low
CLM000003586,POL000067611,CUST00026880,Liability,2022-11-30,2022-12-02,360562,Approved,301692,23,No,0.3436,Surveyor,High
CLM000003587,POL000032495,CUST00081709,Vehicle Damage,2023-05-05,2023-05-08,263714,Approved,244774,7,No,0.6662,Police,Low
CLM000003588,POL000015999,CUST00002440,Travel Disruption,2025-06-29,2025-07-09,29720,Approved,26633,4,No,0.8789,Police,Medium
CLM000003589,POL000107155,CUST00017402,Vehicle Damage,2024-11-18,2024-12-02,115042,Approved,108312,30,No,0.7803,Hospital,Medium
CLM000003590,POL000066452,CUST00069085,Travel Disruption,2026-06-14,2026-06-18,1796014,Approved,1496792,13,No,0.7079,Customer,Medium
CLM000003591,POL000086696,CUST00022155,Travel Disruption,2024-01-22,2024-01-23,190680,Pending,0,10,No,0.8464,Third Party,Low
CLM000003592,POL000067125,CUST00016533,Travel Disruption,2024-05-05,2024-05-09,39249,Approved,33137,12,No,0.1322,Customer,Low
CLM000003593,POL000132570,CUST00012747,Accident,2026-01-27,2026-01-28,1904248,Pending,0,8,No,0.3876,Surveyor,Medium
CLM000003594,POL000073694,CUST00019324,Property Damage,2026-04-23,2026-04-23,686181,Approved,595369,6,No,0.9809,Hospital,Low
CLM000003595,POL000042536,CUST00060336,Theft,2024-06-11,2024-06-13,210383,Approved,205147,4,No,0.2368,Garage,High
CLM000003596,POL000034021,CUST00097673,Theft,2025-11-29,2025-12-14,465383,Approved,413596,43,No,0.0571,Surveyor,Medium
CLM000003597,POL000070699,CUST00034070,Liability,2023-07-31,2023-08-07,43060,Approved,41845,25,No,0.3597,Third Party,Medium
CLM000003598,POL000065179,CUST00066757,Vehicle Damage,2022-07-20,2022-07-22,271938,Approved,234071,54,No,0.1908,Third Party,Low
CLM000003599,POL000055489,CUST00025937,Vehicle Damage,2024-03-10,2024-03-12,146515,Approved,122187,40,No,0.054,Police,Low
CLM000003600,POL000140384,CUST00040885,Death,2023-08-10,2023-08-14,1215705,Under Investigation,0,13,No,0.2715,Third Party,Medium
CLM000003601,POL000133121,CUST00061728,Theft,2025-12-17,2025-12-21,206819,Partially Approved,149488,21,No,0.7108,Hospital,Medium
CLM000003602,POL000042497,CUST00084562,Accident,2023-08-30,2023-09-02,150882,Pending,0,27,No,0.5069,Surveyor,Medium
CLM000003603,POL000002341,CUST00044857,Vehicle Damage,2025-03-07,2025-03-09,67459,Approved,64304,18,No,0.5886,Third Party,Low
CLM000003604,POL000124117,CUST00099079,Theft,2023-03-11,2023-03-15,41906,Approved,36536,33,No,0.2178,Surveyor,Low
CLM000003605,POL000085171,CUST00011057,Liability,2022-12-21,2022-12-25,89170,Pending,0,4,No,0.3485,Hospital,Low
CLM000003606,POL000065618,CUST00082622,Theft,2024-11-15,2024-11-19,110950,Under Investigation,0,4,No,0.6725,Hospital,Medium
CLM000003607,POL000023830,CUST00044424,Travel Disruption,2023-08-05,2023-08-15,286393,Approved,284815,25,No,0.8216,Customer,Low
CLM000003608,POL000054765,CUST00026709,Liability,2022-01-22,2022-01-26,138972,Approved,126004,14,No,0.8285,Surveyor,High
CLM000003609,POL000101367,CUST00099319,Hospitalization,2025-12-03,2025-12-05,13275,Approved,12670,14,No,0.485,Third Party,Low
CLM000003610,POL000140855,CUST00082282,Hospitalization,2022-04-24,2022-04-29,204897,Rejected,0,16,No,0.6555,Third Party,Medium
CLM000003611,POL000084440,CUST00021258,Theft,2022-11-04,2022-11-13,263915,Approved,245710,16,No,0.088,Hospital,Low
CLM000003612,POL000137923,CUST00029035,Theft,2024-09-16,2024-09-24,138154,Rejected,0,38,No,0.3175,Third Party,Low
CLM000003613,POL000028889,CUST00088205,Liability,2023-06-01,2023-06-09,7328,Approved,5963,59,No,0.2958,Surveyor,High
CLM000003614,POL000068311,CUST00089956,Death,2025-07-12,2025-07-14,1463054,Approved,1304250,29,No,0.7494,Surveyor,Low
CLM000003615,POL000024520,CUST00050600,Hospitalization,2026-04-09,2026-04-14,131445,Pending,0,58,No,0.6659,Hospital,Low
CLM000003616,POL000035829,CUST00067053,Property Damage,2025-05-09,2025-05-10,1072386,Approved,985945,13,No,0.9457,Police,Medium
CLM000003617,POL000132784,CUST00005098,Vehicle Damage,2023-12-24,2023-12-29,26134,Approved,22462,8,No,0.8517,Hospital,Low
CLM000003618,POL000116160,CUST00081657,Accident,2025-12-26,2026-01-07,63145,Rejected,0,10,No,0.4308,Surveyor,Low
CLM000003619,POL000091049,CUST00050022,Travel Disruption,2024-10-14,2024-10-17,197401,Under Investigation,0,18,No,0.498,Police,Medium
CLM000003620,POL000047702,CUST00068551,Death,2023-02-22,2023-02-28,524345,Under Investigation,0,11,No,0.5985,Hospital,Low
CLM000003621,POL000068732,CUST00087743,Accident,2024-05-24,2024-06-14,33008,Approved,31289,16,No,0.3076,Garage,Low
CLM000003622,POL000117971,CUST00092632,Property Damage,2024-07-07,2024-07-14,191832,Rejected,0,7,No,0.8294,Third Party,High
CLM000003623,POL000066974,CUST00021613,Death,2026-02-04,2026-02-09,28816,Partially Approved,21176,12,No,0.5515,Police,Medium
CLM000003624,POL000095880,CUST00052714,Travel Disruption,2022-11-22,2022-11-24,60014,Approved,52919,24,No,0.4077,Hospital,Low
CLM000003625,POL000124315,CUST00017886,Hospitalization,2024-07-23,2024-08-03,44707,Pending,0,14,No,0.1026,Garage,Low
CLM000003626,POL000095193,CUST00003494,Accident,2025-08-19,2025-09-03,37977,Approved,37599,19,No,0.3699,Garage,Low
CLM000003627,POL000008720,CUST00026088,Accident,2025-03-31,2025-04-03,160827,Approved,142206,10,No,0.9412,Customer,Medium
CLM000003628,POL000143922,CUST00064110,Theft,2023-02-24,2023-03-02,482088,Approved,401419,32,No,0.5907,Surveyor,Low
CLM000003629,POL000058507,CUST00077164,Vehicle Damage,2022-09-02,2022-09-09,60815,Rejected,0,50,No,0.5799,Hospital,Low
CLM000003630,POL000020769,CUST00020752,Death,2024-01-24,2024-01-26,31804,Partially Approved,23164,32,No,0.1439,Third Party,Medium
CLM000003631,POL000018973,CUST00087818,Travel Disruption,2022-02-27,2022-03-05,34967,Approved,32284,12,No,0.2926,Police,Low
CLM000003632,POL000051491,CUST00045715,Liability,2022-12-30,2023-01-02,89913,Approved,72219,35,No,0.7555,Surveyor,Medium
